Australian Bureau of Statistics

"2016 Census - Selected Family Characteristics"
"SSC by SSCF Same-Sex Couple Indicator"
"Counting: Families Location on Census Night"

Filters:
"Default Summation","Families Location on Census Night"

"SSCF Same-Sex Couple Indicator","Male same-sex couple","Female same-sex couple","Opposite-sex couple","Not applicable","Total",
"Black Creek (Snowy Valleys - NSW)",0,0,4,0,4,
"Black Head",0,0,229,185,420,
"Black Hill (NSW)",0,0,141,54,192,
"Black Hollow",0,0,4,3,10,
"Black Mountain (NSW)",0,0,74,46,116,
"Black Range (NSW)",0,0,46,31,72,
"Black Springs (NSW)",0,0,41,43,89,
"Blackalls Park",0,0,594,551,1146,
"Blackbutt (NSW)",0,0,761,550,1318,
"Blackett",0,0,487,780,1271,
"Blackheath",26,16,912,1191,2149,
"Blackmans Flat",0,0,8,5,14,
"Blackmans Point",0,0,31,45,74,
"Blacksmiths",0,0,410,423,833,
"Blacktown",32,40,9864,7788,17722,
"Blackville",0,0,23,28,53,
"Blackwall (NSW)",0,5,380,485,867,
"Blair Athol (NSW)",0,3,649,300,951,
"Blairmount",0,0,84,60,146,
"Blakebrook",0,0,34,21,61,
"Blakehurst",5,0,1408,752,2162,
"Blakney Creek",0,0,13,11,29,
"Bland",0,0,9,6,14,
"Blandford",0,0,51,44,95,
"Blaxland (NSW)",0,15,1785,1054,2852,
"Blaxlands Creek",0,0,34,19,54,
"Blaxlands Ridge",0,0,121,47,169,
"Blayney",7,0,673,763,1441,
"Bligh Park",0,4,1350,1032,2385,
"Blighty",0,0,29,31,56,
"Blowering",0,0,0,0,0,
"Blue Bay",0,0,213,303,516,
"Blue Haven",3,4,1283,1116,2406,
"Blue Knob",0,0,27,96,134,
"Blue Mountains National Park",0,0,0,7,7,
"Blue Nobby",0,0,10,0,10,
"Blue Vale",0,0,18,11,28,
"Blueys Beach",0,0,50,40,91,
"Boambee",0,4,422,224,652,
"Boambee East",0,5,1162,958,2131,
"Boambolo",0,0,15,4,21,
"Boat Harbour (Lismore - NSW)",0,0,33,26,60,
"Boat Harbour (Port Stephens - NSW)",0,4,246,135,383,
"Bobadah",0,0,5,5,11,
"Bobin",0,0,31,40,70,
"Bobs Creek",0,0,25,13,34,
"Bobs Farm",0,0,97,84,181,
"Bobundara",0,0,5,0,8,
"Boco",0,0,0,0,0,
"Bocoble",0,0,33,24,62,
"Bocobra",0,0,8,11,24,
"Bodalla",0,0,170,155,328,
"Bodangora",0,0,17,17,35,
"Boeill Creek",0,0,22,15,38,
"Bogan",0,0,3,0,8,
"Bogan Gate",0,0,56,61,112,
"Bogangar",0,5,635,686,1321,
"Bogee",0,0,20,21,41,
"Boggabilla",0,0,140,231,364,
"Boggabri",5,0,210,297,510,
"Bogong Peaks Wilderness",0,0,0,0,0,
"Bohena Creek",0,0,44,23,64,
"Bohnock",0,0,22,11,30,
"Bolaro",0,0,10,5,23,
"Bolivia",0,0,13,18,30,
"Bolong",0,0,24,21,45,
"Bolton Point",0,0,379,485,868,
"Bolwarra (NSW)",0,0,256,122,380,
"Bolwarra Heights",0,0,745,281,1035,
"Bom Bom",0,0,0,0,0,
"Bomaderry",0,6,1345,1717,3069,
"Bombah Point",0,0,4,9,10,
"Bombala",0,0,297,319,620,
"Bombay",0,0,24,21,49,
"Bombira",0,0,102,39,140,
"Bombo",0,0,20,26,51,
"Bombowlee",0,0,75,34,112,
"Bombowlee Creek",0,0,13,8,24,
"Bomen",0,0,10,5,11,
