Australian Bureau of Statistics

"2016 Census - Selected Family Characteristics"
"SSC by SSCF Same-Sex Couple Indicator"
"Counting: Families Location on Census Night"

Filters:
"Default Summation","Families Location on Census Night"

"SSCF Same-Sex Couple Indicator","Male same-sex couple","Female same-sex couple","Opposite-sex couple","Not applicable","Total",
"Highgate (SA)",0,0,339,279,615,
"Highland Valley",0,0,91,44,135,
"Hill River (SA)",0,0,31,7,39,
"Hillbank",0,5,1147,688,1833,
"Hillcrest (SA)",3,0,733,709,1445,
"Hillier",0,0,180,206,389,
"Hilltown",0,0,13,7,18,
"Hilton (SA)",0,0,153,228,382,
"Hincks",0,0,0,0,0,
"Hindmarsh (SA)",0,0,26,58,88,
"Hindmarsh Island",0,0,378,268,645,
"Hindmarsh Tiers",0,0,25,12,40,
"Hindmarsh Valley",0,0,135,64,198,
"Holden Hill",0,4,676,815,1500,
"Holder (SA)",0,0,19,23,39,
"Holder Siding",0,0,4,0,3,
"Honiton",0,0,9,6,23,
"Hope Forest",0,0,33,21,52,
"Hope Gap",0,0,0,0,0,
"Hope Valley (SA)",6,8,1725,1656,3391,
"Hornsdale",0,0,10,5,19,
"Horsnell Gully",0,0,0,0,5,
"Hoskin Corner",0,0,3,0,5,
"Houghton",0,0,133,58,191,
"Hove",0,3,634,712,1348,
"Hoyleton",0,0,27,31,58,
"Huddleston",0,0,4,9,8,
"Humbug Scrub",0,0,119,43,154,
"Huntfield Heights",4,4,790,914,1713,
"Hyde Park (SA)",0,8,370,327,705,
"Hynam",0,0,35,24,61,
"Ingle Farm",0,8,1869,1844,3727,
"Inglewood (SA)",0,0,102,32,141,
"Ingomar",0,0,5,0,6,
"Inkerman (SA)",0,0,8,5,8,
"Inkster",0,0,3,0,9,
"Inman Valley",0,0,87,55,144,
"Innamincka",0,0,6,45,52,
"Inneston",0,0,0,0,0,
"Iron Knob",0,0,25,52,81,
"Ironbank",0,3,140,46,185,
"Ironstone",0,0,6,4,8,
"Island Beach",0,0,10,14,22,
"Island Lagoon",0,0,0,0,0,
"Iwantja",0,0,35,45,79,
"Jabuk",0,0,15,7,21,
"James Well",0,0,10,20,27,
"Jamestown",0,0,363,393,763,
"Jamieson (SA)",0,0,0,0,0,
"Jericho (SA)",0,0,5,5,11,
"Jerusalem",0,0,94,54,145,
"Jervois",0,0,59,56,114,
"Joanna",0,0,26,14,42,
"Johnburgh",0,0,4,0,3,
"Joslin",0,0,265,191,450,
"Julanka Holdings",0,0,0,0,0,
"Julia",0,0,0,6,9,
"Jupiter Creek",0,0,61,29,93,
"Kadina",0,0,590,700,1290,
"Kainton",0,0,14,10,23,
"Kalamurina",0,0,0,24,20,
"Kalanbi",0,0,9,0,11,
"Kalangadoo",0,0,108,100,205,
"Kalbeeba",0,0,102,41,148,
"Kaldoonera",0,0,8,0,11,
"Kalka",0,0,12,11,24,
"Kallora",0,0,7,0,4,
"Kaltjiti",0,0,28,50,76,
"Kangarilla",0,0,243,112,357,
"Kangaroo Flat (SA)",0,0,25,17,39,
"Kangaroo Head",0,0,0,9,9,
"Kangaroo Inn",0,0,0,0,0,
"Kanmantoo",4,0,167,93,259,
"Kanni",0,0,11,0,15,
"Kanpi",0,0,8,4,7,
"Kanyaka",0,0,0,0,0,
"Kapinnie",0,0,7,8,15,
"Kappawanta",0,0,0,3,0,
"Kapunda",7,6,645,684,1330,
"Karatta",0,0,10,22,39,
"Karcultaby",0,0,6,0,6,
"Karkoo",0,0,21,3,17,
"Karoonda",0,0,118,111,230,
"Karte",0,0,6,7,17,
"Katarapko",0,0,0,0,0,
"Keilira",0,0,17,17,35,
"Keith",0,0,309,286,595,
"Kellidie Bay",0,0,3,4,8,
"Kelly",0,0,15,11,29,
"Kensington (SA)",3,0,295,631,928,
"Kensington Gardens",0,0,540,581,1120,
"Kensington Park",6,0,569,468,1039,
"Kent Town",5,0,179,407,590,
"Kenton Valley",0,0,77,22,100,
"Kepa",0,0,17,6,22,
"Keppoch",0,0,12,7,22,
"Kersbrook",5,0,302,111,424,
"Keswick",0,0,149,193,334,
"Keswick Terminal",0,0,0,0,0,
"Keyneton",0,0,84,45,122,
"Ki Ki",0,0,11,16,27,
"Kiana",0,0,5,0,8,
"Kidman Park",0,6,835,588,1427,
"Kielpa",0,0,9,13,25,
"Kilburn",4,5,834,1421,2266,
"Kilkenny",0,0,326,388,713,
"Kimba",0,0,145,150,294,
"Kingoonya",0,0,0,3,9,
"Kings Park (SA)",0,0,125,129,259,
"Kingscote",0,0,393,474,869,
"Kingsford (SA)",0,0,12,3,19,
"Kingston On Murray",0,0,80,59,139,
"Kingston Park",0,0,126,132,260,
"Kingston Se",0,0,331,294,623,
"Kingswood (SA)",0,3,503,430,942,
"Klemzig",8,3,1257,1517,2784,
"Kohinoor",0,0,8,13,18,
"Kokatha",0,0,0,0,3,
"Kolendo",0,0,0,9,9,
"Kongal",0,0,3,0,4,
"Kongorong",0,0,53,26,78,
"Koolgera",0,0,0,0,0,
"Koolunga",0,0,46,32,82,
"Koolywurtie",0,0,22,16,35,
"Koongawa",0,0,10,9,22,
"Koonibba",0,0,22,27,48,
"Koonoona",0,0,4,0,4,
"Koonunga",0,0,15,12,26,
"Koorine",0,0,15,7,21,
"Kooroona",0,0,4,4,3,
"Koppamurra",0,0,15,11,21,
"Koppio",0,0,19,9,25,
"Korunye",0,0,52,37,91,
"Kringin",0,0,0,0,0,
"Krondorf",0,0,20,11,31,
"Krongart",0,0,6,0,6,
"Kudla",0,0,123,72,188,
"Kuitpo",0,0,47,28,79,
"Kuitpo Colony",0,0,4,5,9,
"Kulpara",0,0,17,11,24,
"Kurralta Park",0,3,553,747,1301,
"Kyancutta",0,0,16,13,30,
"Kybunga",0,0,10,12,22,
"Kybybolite",0,0,22,24,46,
"Kyeema",0,0,4,11,13,
"Laffer",0,0,13,4,16,
"Lake Albert (SA)",0,0,0,0,0,
"Lake Alexandrina",0,0,0,0,0,
"Lake Carlet",0,0,0,5,3,
"Lake Everard",0,0,0,0,0,
"Lake Eyre",0,0,0,0,0,
"Lake Frome",0,0,0,0,0,
"Lake Gairdner",0,0,0,0,0,
"Lake Gilles",0,0,0,0,0,
"Lake Macfarlane",0,0,0,0,0,
"Lake Plains",0,0,13,10,27,
"Lake Torrens",0,0,0,0,0,
"Lake View",0,0,3,0,0,
"Lameroo",0,0,196,163,358,
"Langhorne Creek",0,0,104,72,176,
"Langs Landing",0,0,0,0,0,
"Largs Bay",7,12,877,787,1683,
"Largs North",7,12,784,835,1634,
"Laura (SA)",0,0,170,151,314,
"Laura Bay",0,0,5,0,8,
"Laurie Park",0,0,20,7,19,
"Leabrook",0,0,325,423,755,
"Leasingham",0,0,34,11,45,
"Leawood Gardens",0,0,15,10,30,
"Leigh Creek (SA)",0,0,40,69,109,
"Leighton",0,0,12,6,19,
"Lenswood",0,0,128,63,196,
"Lewiston",5,4,741,404,1146,
"Light Pass",0,0,65,29,95,
"Lincoln Gap",0,0,3,13,15,
"Lincoln National Park",0,0,0,0,4,
"Linden Park",0,0,424,390,817,
"Lindley",0,0,0,0,0,
"Linwood",0,0,10,9,19,
"Lipson",0,0,52,30,88,
"Little Douglas",0,0,0,6,6,
"Littlehampton",0,9,729,408,1145,
"Lobethal",4,4,590,429,1021,
"Lochaber",0,0,27,13,42,
"Lochiel (SA)",0,0,27,22,52,
"Lock",0,0,68,60,127,
"Lockleys",4,3,1311,1012,2328,
"Long Flat (SA)",0,0,24,15,31,
"Long Plains",0,0,12,11,21,
"Longwood (SA)",0,0,71,33,100,
"Lonsdale",0,0,9,3,10,
"Louth Bay",0,0,25,47,74,
"Loveday",0,0,148,123,269,
"Lowan Vale",0,0,11,8,20,
"Lowbank",0,0,7,4,14,
"Lower Broughton",0,0,10,3,13,
"Lower Hermitage",0,0,67,14,79,
"Lower Inman Valley",0,0,123,44,170,
"Lower Light",0,0,47,46,87,
"Lower Mitcham",0,0,514,369,888,
"Loxton",0,3,1008,1009,2023,
"Loxton North",0,0,192,130,323,
"Lucindale",0,0,138,102,248,
"Lucky Bay",0,0,5,19,24,
"Lyndhurst (SA)",0,0,0,15,18,
"Lyndoch",3,0,487,298,784,
"Lynton",0,0,59,31,90,
"Lyrup",0,0,70,72,142,
"Maaoupe",0,0,22,11,31,
"Macclesfield (SA)",0,3,351,223,574,
"Macdonald Park",0,0,128,75,202,
"Macgillivray",0,0,29,11,39,
"Magarey",0,0,3,5,7,
"Magdala",0,0,16,7,21,
"Maggea",0,0,4,0,5,
"Magill",11,10,1850,1981,3853,
"Mahanewo",0,0,0,0,0,
"Maitland (SA)",0,0,301,225,523,
"Makin",0,0,5,4,7,
"Malinong",0,0,12,3,11,
"Mallala",0,0,214,141,357,
"Malpas",0,0,6,0,10,
"Maltee",0,0,5,0,7,
"Malvern (SA)",0,0,609,411,1021,
"Mambray Creek",0,0,8,9,16,
"Mangalo",0,0,13,3,16,
"Manna Hill",0,0,0,0,3,
"Mannanarie",0,0,21,9,31,
"Manningham",3,0,296,245,545,
"Mannum",0,0,579,678,1262,
"Manoora (SA)",0,0,26,38,66,
"Mansfield Park",0,3,789,785,1583,
"Mantung",0,0,10,3,9,
"Marama",0,0,14,14,27,
"Marananga",0,0,30,15,41,
"Marble Hill",0,0,19,4,24,
"Marcollat",0,0,23,6,32,
"Marden",0,0,495,628,1127,
"Marino",5,5,567,321,894,
"Marion",0,0,804,870,1678,
"Marion Bay (SA)",0,0,33,56,89,
"Markaranka",0,0,6,0,9,
"Marks Landing",0,0,0,9,8,
"Marla",0,0,8,85,98,
"Marleston",3,6,338,477,824,
"Marola",0,0,0,0,0,
"Marrabel",0,0,32,16,43,
"Marree",0,0,10,43,54,
"Marryatville",0,0,118,143,257,
"Maryvale (SA)",0,0,0,4,3,
"Maslin Beach",0,4,261,238,500,
"Matta Flat",0,0,18,15,33,
"Maude (SA)",0,0,0,0,0,
"Mawson Lakes",18,16,2949,2357,5343,
"Mayfield (SA)",0,0,4,0,4,
"Maylands (SA)",0,3,323,368,695,
"McBean Pound",0,0,5,9,8,
"McCallum",0,0,4,6,7,
"McCracken",0,3,469,430,902,
"McHarg Creek",0,0,18,13,25,
"McLaren Flat",0,0,389,150,540,
"McLaren Vale",0,5,945,705,1658,
"Meadows",0,0,340,222,563,
"Medindie",0,0,274,128,402,
"Medindie Gardens",0,0,83,44,121,
"Melrose (SA)",0,0,81,88,170,
"Melrose Park (SA)",0,0,448,543,990,
"Melton (SA)",0,0,10,3,9,
"Melton Station",0,0,3,6,4,
"Meningie",0,0,243,261,506,
"Meningie East",0,0,0,3,9,
"Meningie West",0,0,7,7,17,
"Menzies (SA)",0,0,25,12,38,
"Mercunda",0,0,5,0,4,
"Merghiny",0,0,9,0,9,
"Meribah",0,0,4,11,13,
"Merriton",0,0,11,3,22,
"Middle Beach",0,0,12,35,43,
"Middle River",0,0,0,7,7,
"Middleback Range",0,0,0,5,5,
"Middleton (SA)",0,3,282,229,516,
"Midgee (SA)",0,0,0,6,7,
"Mil-Lel",0,0,89,39,128,
"Milang",0,0,198,215,413,
"Mile End",6,10,778,1195,1991,
"Mile End South",0,0,0,8,10,
"Milendella",0,0,6,13,22,
"Millbrook (SA)",0,0,24,19,41,
"Millicent",0,0,1080,1193,2271,
"Millswood",6,3,518,284,811,
"Miltalie",0,0,19,9,26,
"Mimili",0,0,43,46,86,
"Minbrie",0,0,9,7,19,
"Minburra",0,0,0,0,0,
"Mindarie (SA)",0,0,9,11,18,
"Mingary",0,0,10,19,28,
"Mingbool",0,0,29,22,49,
"Minlaton",0,0,244,248,489,
"Minnipa",0,0,41,55,86,
"Mintaro",0,0,55,31,87,
"Minvalara",0,0,4,8,12,
"Miranda (SA)",0,0,7,11,23,
"Mitcham (SA)",0,0,404,356,765,
"Mitchell (SA)",0,0,18,0,22,
"Mitchell Park (SA)",5,4,1008,1627,2648,
"Mitchellville",0,0,6,3,14,
"Moana",0,5,593,497,1098,
"Mobilong",0,0,4,0,3,
"Moculta",0,0,60,29,91,
"Modbury",4,5,1077,1179,2260,
"Modbury Heights",0,3,1629,1111,2746,
"Modbury North",5,4,1345,893,2241,
"Moerlong",0,0,3,0,3,
"Monarto",0,0,46,34,82,
"Monarto South",0,0,37,30,65,
"Monash (SA)",0,0,289,186,472,
"Monbulla",0,0,30,19,50,
"Mongolata",0,0,0,5,5,
"Montacute",0,0,82,41,118,
"Montarra",0,0,3,0,10,
"Monteith",0,0,28,22,54,
"Moockra",0,0,5,6,4,
"Moody",0,0,9,0,5,
"Moonaree",0,0,0,0,0,
"Moonta",0,0,124,205,336,
"Moonta Bay",0,0,583,485,1068,
"Moonta Mines",0,0,55,50,103,
"Moorak",0,0,191,114,304,
"Moorlands",0,0,13,3,19,
"Moorook",0,0,43,36,78,
"Moorook South",0,0,37,43,85,
"Moppa",0,0,21,9,26,
"Morchard",0,0,3,7,6,
"Morgan",0,0,113,156,268,
"Morn Hill",0,0,6,5,3,
"Morphett Vale",12,22,4726,5648,10405,
"Morphetts Flat",0,0,0,4,4,
"Morphettville",3,3,546,891,1442,
"Mortana",0,0,6,3,4,
"Moseley",0,0,3,0,8,
"Mosquito Hill",0,0,36,16,48,
"Mount Barker (SA)",9,7,3021,2656,5689,
"Mount Barker Junction",0,0,0,0,0,
"Mount Barker Springs",0,0,45,19,66,
"Mount Barker Summit",0,0,26,15,43,
"Mount Benson",0,0,25,19,50,
"Mount Bryan",0,0,24,30,49,
"Mount Bryan East",0,0,0,0,0,
"Mount Burr",0,0,76,86,156,
"Mount Charles",0,0,15,3,17,
"Mount Clarence Station",0,0,0,0,4,
"Mount Compass",0,0,367,169,545,
"Mount Cooper (SA)",0,0,3,0,3,
"Mount Crawford",0,0,33,17,60,
"Mount Damper",0,0,9,3,13,
"Mount Drummond",0,0,0,4,8,
"Mount Dutton Bay",0,0,13,8,23,
"Mount Eba",0,0,0,6,3,
"Mount Gambier",13,18,5177,5953,11159,
"Mount George (SA)",0,0,75,37,113,
"Mount Hope (SA)",0,0,10,8,17,
"Mount Jagged",0,0,43,18,56,
"Mount Joy",0,0,0,0,0,
"Mount Light",0,0,48,10,57,
"Mount Magnificent",0,0,16,14,24,
"Mount Mary",0,0,0,12,16,
"Mount Mcintyre",0,0,19,7,23,
"Mount Mckenzie",0,0,16,11,27,
"Mount Observation (SA)",0,0,4,0,3,
"Mount Osmond",4,0,108,45,153,
"Mount Pleasant (SA)",5,0,239,202,444,
"Mount Schank",0,0,58,21,85,
"Mount Serle",0,0,7,7,16,
"Mount Templeton",0,0,9,7,20,
"Mount Torrens",0,3,189,81,267,
"Mount Wedge",0,0,3,0,3,
"Mount Willoughby",0,0,0,6,5,
"Moyhall",0,0,11,4,14,
"Mudamuckla",0,0,18,11,30,
"Mulgundawa",0,0,9,13,23,
"Mullaquana",0,0,61,41,103,
"Mundallio",0,0,0,0,0,
"Mundic Creek",0,0,10,8,13,
"Mundoo Island",0,0,0,3,6,
"Mundoora",0,0,32,22,59,
"Mundulla",0,0,115,60,178,
"Mundulla West",0,0,24,11,31,
"Mungeranie",0,0,10,28,35,
"Munno Para",7,10,675,936,1622,
"Munno Para Downs",0,0,48,29,74,
"Munno Para West",7,9,1080,1069,2166,
"Murbko",0,0,25,18,39,
"Murdinga",0,0,18,10,29,
"Murlong",0,0,5,6,10,
"Murninnie Beach",0,0,10,11,16,
"Murputja",0,0,11,11,16,
"Murrawong",0,0,4,3,9,
"Murray Bridge",3,13,2802,3617,6439,
"Murray Bridge East",0,0,290,181,472,
"Murray Bridge North",0,0,29,24,53,
"Murray Bridge South",0,0,44,27,77,
"Murray Town",0,0,18,11,31,
"Murtho",0,0,43,38,78,
"Muston",0,0,9,6,11,
"Mylor",0,0,267,147,416,
"Mypolonga",0,0,111,86,205,
"Myponga",0,0,172,128,300,
"Myponga Beach",0,0,12,4,14,
"Myrtle Bank (SA)",0,0,594,573,1169,
"Nackara",0,0,0,3,3,
"Nadia",0,0,0,0,0,
"Naidia",0,0,0,0,0,
"Nailsworth",4,0,455,419,880,
"Nain",0,0,8,4,15,
"Nairne",5,8,1175,804,1990,
"Nalyappa",0,0,6,8,8,
"Nangkita",0,0,49,31,85,
"Nangwarry",0,0,109,133,237,
"Nantawarra",0,0,20,0,21,
"Napperby",0,0,162,105,266,
"Naracoorte",4,4,1316,1222,2540,
"Narridy",0,0,17,11,35,
"Narrung (SA)",0,0,32,45,81,
"Naturi",0,0,3,6,12,
"Neales Flat",0,0,19,7,33,
"Nectar Brook",0,0,7,5,7,
"Nelshaby",0,0,46,24,71,
"Nene Valley",0,0,28,7,33,
"Nepabunna",0,0,20,11,24,
"Nepean Bay",0,0,25,42,65,
"Netherby (SA)",0,0,349,205,556,
"Netherton",0,0,13,3,18,
"Netley",0,0,437,365,797,
"New Port",0,4,133,249,383,
"New Residence",0,0,20,14,36,
"New Town (SA)",0,3,278,219,495,
"New Well",0,0,0,5,3,
"Newland",0,0,6,15,25,
"Newton",7,4,1098,894,2000,
"Ngapala",0,0,11,7,20,
"Ngarkat",0,0,0,0,0,
"Nildottie",0,0,52,39,90,
"Ninnes",0,0,14,7,22,
"Noarlunga Centre",0,0,37,58,95,
"Noarlunga Downs",0,4,776,898,1681,
"Nora Creina",0,0,7,9,17,
"Normanville (SA)",0,3,406,367,775,
"North Adelaide",23,9,1169,1955,3151,
"North Beach (SA)",0,0,130,119,250,
"North Booborowie",0,0,0,9,10,
"North Brighton",0,0,480,347,827,
"North Cape",0,0,0,0,0,
"North Haven (SA)",3,8,1421,1017,2449,
"North Moonta",0,0,116,104,221,
"North Plympton",7,5,592,782,1380,
"North Shields",0,0,90,96,195,
"North West Bend",0,0,0,4,4,
"North Yelta",0,0,0,6,11,
"Northern Heights",0,0,60,63,120,
"Northfield",0,3,760,920,1681,
"Northgate (SA)",13,8,1458,1010,2488,
"Norton Summit",0,0,122,64,188,
"Norwood (SA)",13,11,1136,1845,3009,
"Notts Well",0,0,0,0,3,
"Novar Gardens",0,5,583,459,1040,
"Nullarbor",0,0,0,63,63,
"Nunjikompita",0,0,11,4,12,
"Nuriootpa",0,4,1492,1262,2763,
"Nurom",0,0,6,4,15,
"Nurragi",0,0,9,5,14,
"O'Halloran Hill",0,0,634,506,1138,
"O'Sullivan Beach",0,0,364,528,893,
"Oakbank",0,3,210,141,352,
"Oakden",5,4,782,744,1529,
"Oakden Hills",0,0,0,0,0,
"Oaklands Park",9,7,662,1186,1861,
"Ob Flat",0,0,111,54,160,
"Olary",0,0,0,8,8,
"Old Calperum",0,0,0,4,4,
"Old Noarlunga",0,0,325,273,601,
"Old Reynella",0,8,761,674,1441,
"Old Teal Flat",0,0,0,0,5,
"Olympic Dam",0,0,0,0,0,
"One Tree Hill",0,0,288,111,405,
"Onkaparinga Hills",0,0,689,245,932,
"Oodla Wirra",0,0,0,0,0,
"Oodnadatta",0,0,29,95,128,
"Orroroo",0,0,133,167,304,
"Osborne (SA)",0,0,384,488,881,
"Ottoway",0,0,435,644,1084,
"Outer Harbor",0,0,0,4,9,
"Overland Corner",0,0,17,4,22,
"Ovingham",4,0,122,218,338,
"Owen",0,0,113,97,213,
"Padthaway",0,0,81,68,144,
"Paechtown",0,0,51,19,74,
"Pages Flat",0,0,38,18,65,
"Paisley",0,0,24,24,39,
"Palkagee",0,0,3,0,3,
"Pallamana",0,0,22,13,30,
"Palmer (SA)",0,0,38,49,92,
"Panitya (SA)",0,0,0,0,6,
"Panorama",0,0,554,422,970,
"Para Hills",4,5,1399,1302,2707,
"Para Hills West",0,0,614,811,1423,
"Para Vista",0,3,624,625,1252,
"Parachilna",0,0,3,15,23,
"Paracombe",0,0,114,41,161,
"Paradise (SA)",0,3,1497,1346,2852,
"Parafield",0,0,0,4,4,
"Parafield Gardens",6,7,3539,3028,6581,
"Paralowie",6,9,3328,2906,6246,
"Paramatta",0,0,3,4,6,
"Paratoo",0,0,0,4,6,
"Parawa",0,0,21,13,32,
"Parham",0,0,46,62,104,
"Parilla",0,0,44,29,74,
"Paringa",0,0,243,235,476,
"Paris Creek",0,0,53,29,77,
"Park Holme",0,6,529,847,1376,
"Parkside (SA)",15,15,985,1143,2149,
"Parnaroo",0,0,0,0,0,
"Parndana",0,0,32,36,66,
"Parrakie",0,0,24,14,43,
"Paruna",0,0,12,3,15,
"Pasadena",0,3,720,601,1324,
"Paskeville",0,0,35,37,73,
"Pata",0,0,12,16,24,
"Payneham",0,0,477,682,1166,
"Payneham South",0,0,315,388,707,
"Peake",0,0,30,29,56,
"Pearlah",0,0,13,0,18,
"Peebinga",0,0,8,7,15,
"Peep Hill",0,0,7,4,7,
"Pekina",0,0,18,15,30,
"Pelican Lagoon",0,0,17,15,33,
"Pelican Point (SA)",0,0,14,25,41,
"Pellaring Flat",0,0,0,0,0,
"Penfield",4,0,189,188,383,
"Penfield Gardens",0,0,83,29,115,
"Penneshaw",0,0,58,66,130,
"Pennington",4,3,628,862,1496,
"Penola",0,0,361,324,686,
"Penong",0,0,55,93,149,
"Penrice",0,0,114,46,160,
"Penwortham",0,0,37,27,64,
"Perlubie",0,0,15,5,19,
"Perponda",0,0,16,10,27,
"Peterborough (SA)",0,0,269,518,789,
"Peterhead",4,3,209,333,550,
"Petersville",0,0,13,13,22,
"Petherick",0,0,9,4,11,
"Petina",0,0,12,7,19,
"Petwood",0,0,17,9,26,
"Pewsey Vale",0,0,29,12,39,
"Piccadilly (SA)",0,0,87,50,139,
"Piednippie",0,0,3,3,5,
"Pike River",0,0,20,4,22,
"Pimba",0,0,6,12,19,
"Pimbaacla",0,0,0,0,8,
"Pine Creek (SA)",0,0,0,0,0,
"Pine Hill (SA)",0,0,10,12,22,
"Pine Point",0,0,22,18,45,
"Pinery",0,0,27,18,48,
"Pinkawillinie",0,0,8,6,19,
"Pinkerton Plains",0,0,24,4,24,
"Pinks Beach",0,0,21,21,42,
"Pinnaroo",0,0,152,182,330,
"Pipalyatjara",0,0,35,29,65,
"Pirie East",0,0,11,6,15,
"Pleasant Park",0,0,15,6,21,
"Plympton",11,10,1008,1196,2223,
"Plympton Park",0,4,682,828,1508,
"Point Boston",0,0,5,6,10,
"Point Lowly",0,0,3,9,16,
"Point Pass",0,0,27,20,49,
"Point Pearce",0,0,8,37,41,
"Point Souttar",0,0,7,0,12,
"Point Sturt",0,0,11,15,28,
"Point Turton",0,0,89,80,171,
"Polda",0,0,0,0,0,
"Polish Hill River",0,0,10,3,15,
"Poltalloch",0,0,8,13,20,
"Pompoota",0,0,15,6,22,
"Ponde",0,0,14,19,33,
"Poochera",0,0,13,10,23,
"Pooginagoric",0,0,18,10,28,
"Pooginook",0,0,4,0,4,
"Poonindie",0,0,46,21,66,
"Pooraka",0,7,1488,1611,3104,
"Porky Flat",0,0,3,0,7,
"Port Adelaide",0,3,196,432,634,
"Port Arthur (SA)",0,0,0,0,0,
"Port Augusta",0,3,1140,1885,3027,
"Port Augusta West",0,4,818,1025,1841,
"Port Bonython",0,0,8,0,8,
"Port Broughton",0,4,283,317,610,
"Port Davis",0,0,0,0,4,
"Port Elliot",0,4,529,462,990,
"Port Gawler",0,0,24,5,34,
"Port Germein",0,0,95,122,221,
"Port Gibbon",0,0,3,13,17,
"Port Hughes",0,0,157,123,283,
"Port Julia",0,0,13,15,28,
"Port Kenny",0,0,12,28,38,
"Port Lincoln",3,9,2872,3271,6156,
"Port Macdonnell",0,0,177,185,359,
"Port Mannum",0,0,48,62,116,
"Port Moorowie",0,0,18,10,34,
"Port Neill",0,0,51,78,133,
"Port Noarlunga",0,4,591,703,1303,
"Port Noarlunga South",0,7,650,511,1163,
"Port Paterson",0,0,19,10,24,
"Port Pirie",0,0,11,46,60,
"Port Pirie South",0,0,807,913,1722,
"Port Pirie West",0,0,424,877,1302,
"Port Rickaby",0,0,17,11,25,
"Port Victoria",0,0,82,104,186,
"Port Vincent",0,0,138,134,268,
"Port Wakefield",0,0,125,182,306,
"Port Willunga",0,5,334,423,760,
"Porter Lagoon",0,0,0,0,0,
"Price",0,0,30,66,99,
"Proof Range",0,0,0,3,3,
"Prospect (SA)",25,18,2810,2619,5472,
"Prospect Hill",0,0,32,29,65,
"Pukatja",0,0,76,93,165,
"Puntabie",0,0,0,3,4,
"Punthari",0,0,11,7,18,
"Punyelroo",0,0,8,12,18,
"Pureba",0,0,0,0,0,
"Purnong",0,0,8,8,16,
"Pyap",0,0,43,16,61,
"Pyap West",0,0,7,5,16,
"Pygery",0,0,17,11,26,
"Qualco",0,0,17,11,26,
"Queenstown (SA)",5,0,353,606,965,
"Quinyambie",0,0,0,5,6,
"Quorn",0,0,277,327,601,
"Racecourse Bay",0,0,9,5,20,
"Ramco",0,0,41,36,75,
"Ramco Heights",0,0,35,21,56,
"Ramsay (SA)",0,0,18,4,30,
"Rapid Bay",0,0,4,10,12,
"Red Creek",0,0,30,9,43,
"Redbanks",0,0,50,31,78,
"Redhill",0,0,30,41,73,
"Redwood Park",0,0,1340,767,2111,
"Reedy Creek (SA)",0,0,26,12,40,
"Reeves Plains",0,0,36,14,59,
"Regency Park",0,0,0,3,3,
"Reid (SA)",0,0,99,46,144,
"Rendelsham",0,0,52,37,88,
"Renmark",0,7,904,1249,2153,
"Renmark North",0,0,160,95,259,
"Renmark South",0,0,91,51,145,
"Renmark West",0,0,322,183,508,
"Renown Park",0,0,270,547,814,
"Reynella",0,3,1054,1017,2078,
"Reynella East",0,0,469,407,877,
"Rhynie",0,0,37,25,63,
"Richmond (SA)",0,6,611,925,1544,
"Ridgehaven",0,4,896,873,1776,
"Ridleyton",0,5,208,330,540,
"Risdon Park",0,3,757,956,1715,
"Risdon Park South",0,0,522,401,920,
"Riverglades",0,0,215,118,331,
"Riverglen",0,0,3,4,9,
"Riverton (SA)",0,0,219,259,480,
"Robe",0,0,247,288,539,
"Robertstown",0,0,52,74,124,
"Rochester (SA)",0,0,0,0,4,
"Rockleigh",0,0,65,33,97,
"Rocky Camp",0,0,41,20,62,
"Rocky Gully (SA)",0,0,25,20,49,
"Rocky Plain (SA)",0,0,4,4,9,
"Rocky Point (SA)",0,0,0,0,0,
"Rogues Point",0,0,6,4,16,
"Rose Park",5,0,323,225,553,
"Rosedale (SA)",0,0,41,32,70,
"Rosetown",0,0,31,31,63,
"Rosewater",5,6,593,922,1531,
"Roseworthy",0,0,233,114,345,
"Rosslyn Park",0,0,379,226,600,
"Rostrevor",3,4,1828,1299,3134,
"Rowland Flat",0,0,33,25,60,
"Roxby Downs",0,0,801,570,1375,
"Royal Park",0,0,615,780,1401,
"Royston Park",0,0,279,208,491,
"Rudall",0,0,20,27,49,
"SA Remainder",0,0,13,4,20,
"Saddleworth",0,0,111,119,228,
"Saints",0,0,3,0,8,
"Salisbury (SA)",3,5,1419,2162,3586,
"Salisbury Downs",0,0,1170,1324,2497,
"Salisbury East",0,5,1845,2005,3855,
"Salisbury Heights",4,5,1292,643,1941,
"Salisbury North",3,3,1717,2443,4170,
"Salisbury Park",0,0,448,502,952,
"Salisbury Plain",0,0,244,277,521,
"Salisbury South",0,0,3,15,14,
"Salt Creek",0,0,8,13,20,
"Salter Springs",0,0,19,9,26,
"Saltia",0,0,4,0,3,
"Sampson Flat",0,0,34,9,42,
"Sandalwood",0,0,11,12,27,
"Sandergrove",0,0,22,11,38,
"Sanderston",0,0,18,18,37,
"Sandilands (SA)",0,0,26,9,37,
"Sandleton",0,0,10,6,19,
"Sandy Creek (SA)",0,0,75,28,107,
"Sandy Grove",0,0,28,8,36,
"Sapphiretown",0,0,9,13,19,
"Sceale Bay",0,0,10,9,24,
"Schell Well",0,0,0,0,4,
"Scott Creek",0,0,53,26,83,
"Seacliff",0,0,471,400,869,
"Seacliff Park",4,0,585,496,1081,
"Seacombe Gardens",0,9,569,831,1404,
"Seacombe Heights",3,0,363,235,602,
