Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"SSC (UR) by OCCP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"OCCP - 1 Digit Level","Managers","Professionals","Technicians and Trades Workers","Community and Personal Service Workers","Clerical and Administrative Workers","Sales Workers","Machinery Operators and Drivers","Labourers","Inadequately described","Not stated","Not applicable","Total",
"Beechwood",28,36,44,30,38,19,15,24,0,5,368,611,
"Beecroft",792,1860,282,324,678,361,66,127,23,21,4865,9395,
"Beecroft Peninsula",0,0,0,0,0,0,0,0,0,0,0,0,
"Beelbangera",27,19,37,23,20,28,19,27,0,0,206,406,
"Beemunnel",0,0,0,3,0,0,0,0,0,0,11,10,
"Bega",163,266,225,239,195,213,123,390,17,17,2813,4666,
"Beggan Beggan",31,4,7,5,4,0,0,9,0,0,43,99,
"Belanglo",6,3,0,0,0,0,0,0,0,0,11,21,
"Belbora",11,17,5,4,0,3,3,5,4,0,72,121,
"Belfield",339,556,392,249,490,282,155,246,35,24,3554,6317,
"Belford",12,13,31,6,7,6,16,8,0,0,80,171,
"Belfrayden",0,0,6,0,3,0,0,0,0,0,21,30,
"Belgravia",15,8,5,9,14,0,0,7,0,0,50,118,
"Belimbla Park",32,45,70,28,48,15,23,29,8,0,281,583,
"Bell (NSW)",3,0,0,0,0,0,0,0,0,0,38,47,
"Bella Vista",771,1347,336,286,747,382,112,152,57,36,3617,7834,
"Bellambi",83,266,254,221,174,121,114,190,15,16,2486,3948,
"Bellangry",13,3,6,3,4,4,0,11,0,0,57,94,
"Bellata",61,11,7,10,13,4,23,18,0,0,189,348,
"Bellawongarah",17,13,6,0,7,11,0,3,0,0,78,124,
"Bellbird",56,79,153,115,106,80,101,101,4,0,1230,2031,
"Bellbird Heights",32,41,63,40,38,36,46,39,5,0,448,788,
"Bellbrook",32,13,7,9,5,4,4,6,0,0,199,280,
"Bellevue Hill",1221,2228,255,390,620,433,55,142,86,37,5250,10719,
"Bellimbopinni",13,0,3,3,11,3,5,10,0,0,71,118,
