Australian Bureau of Statistics

"2016 Census - Cultural Diversity"
"SSC (UR) by LANP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"LANP - 1 Digit Level","Northern European Languages","Southern European Languages","Eastern European Languages","Southwest and Central Asian Languages","Southern Asian Languages","Southeast Asian Languages","Eastern Asian Languages","Australian Indigenous Languages","Other Languages","Supplementary codes","Not stated","Total",
"Balgowlah Heights",2974,137,28,6,0,12,77,0,0,0,114,3345,
"Balgownie",4438,407,137,122,52,53,86,0,17,10,209,5529,
"Balickera",25,0,0,0,0,0,0,0,0,0,0,25,
"Balladoran",100,0,0,0,0,0,0,0,0,0,5,109,
"Ballalaba",17,0,0,0,0,0,0,0,0,0,4,18,
"Balldale",127,0,0,0,0,0,0,0,0,0,22,159,
"Ballengarra",79,0,0,0,0,0,0,0,0,0,12,92,
"Ballimore",161,0,0,0,0,0,0,0,0,0,36,197,
"Ballina",7387,61,16,13,67,49,55,0,17,11,979,8648,
"Ballyroe",5,0,0,0,0,0,0,0,0,0,0,5,
"Balmain",8451,418,95,99,72,125,252,0,21,15,902,10447,
"Balmain East",1568,67,23,25,15,21,34,0,4,7,174,1937,
"Balmoral (Lake Macquarie - NSW)",700,5,4,0,0,3,0,0,0,0,13,723,
"Balmoral (Wingecarribee - NSW)",393,6,3,0,0,3,6,0,0,7,15,424,
"Balranald",1183,25,0,7,4,0,6,0,11,0,113,1345,
"Bamarang",21,0,0,0,0,0,0,0,0,0,0,29,
"Banda Banda",0,0,0,0,0,0,0,0,0,0,0,0,
"Bandon Grove",104,0,0,0,0,0,0,0,0,0,9,119,
"Bangadang",11,0,0,0,0,0,0,0,0,0,0,11,
"Bangalee (NSW)",616,11,0,0,0,0,0,0,0,0,26,659,
"Bangalow",1772,22,9,0,14,10,16,0,8,0,163,2021,
"Bangheet",32,0,0,0,0,0,0,0,0,0,6,40,
"Bango",95,0,0,0,0,0,0,0,0,0,4,99,
"Bangor (NSW)",4889,229,85,51,28,31,105,0,5,5,127,5567,
"Banksia",1442,335,405,211,193,263,321,0,14,6,199,3383,
"Banksmeadow",14,0,0,0,0,0,6,0,0,0,6,18,
"Bankstown",5698,1578,1177,7168,2865,7073,2918,0,911,165,2554,32116,
"Bankstown Aerodrome",0,0,0,0,0,0,0,0,0,0,0,0,
"Bannaby",33,0,0,0,0,0,0,0,0,0,0,34,
"Bannister (NSW)",116,0,0,0,0,0,0,0,0,0,4,123,
"Banoon",26,0,0,0,0,0,0,0,0,0,4,26,
"Banora Point",14826,151,41,21,77,127,133,0,40,21,735,16169,
"Banyabba",41,0,0,0,0,0,0,0,0,0,9,45,
"Bar Beach",1095,26,7,0,7,8,5,0,4,0,109,1258,
"Bar Point",57,4,0,0,0,0,0,0,0,0,4,66,
"Bara",24,0,0,0,0,0,0,0,0,0,0,30,
"Baradine",712,0,0,0,4,0,0,0,0,0,43,759,
"Barangaroo",58,3,0,0,0,0,43,0,0,0,80,190,
