Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"SSC (UR) by HEAP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"HEAP - 1 Digit Level","Postgraduate Degree Level","Graduate Diploma and Graduate Certificate Level","Bachelor Degree Level","Advanced Diploma and Diploma Level","Certificate III & IV Level","Secondary Education - Years 10 and above","Certificate I & II Level","Secondary Education - Years 9 and below","Supplementary Codes","Not stated","Not applicable","Total",
"Holroyd River",0,0,0,0,0,0,0,0,0,0,0,0,
"Home Creek",0,0,5,6,0,6,0,0,0,0,5,24,
"Home Hill",10,17,112,104,479,899,3,363,67,385,519,2956,
"Homebush (Qld)",3,0,12,9,53,73,0,36,7,33,53,274,
"Homestead",0,0,0,0,0,13,0,3,0,9,10,52,
"Hookswood",0,0,5,5,12,13,0,0,0,9,4,55,
"Hope Island",388,146,1277,1062,1517,3158,3,424,363,1233,1619,11187,
"Hope Vale",0,10,21,27,166,257,8,104,18,124,283,1015,
"Hopeland (Qld)",0,0,11,8,20,42,0,10,0,12,30,140,
"Horn",0,7,24,28,64,116,4,33,12,96,148,531,
"Horse Camp",5,0,17,16,70,129,0,47,8,41,82,413,
"Horse Creek",0,0,3,4,14,25,0,27,3,23,22,120,
"Horseshoe Bay",10,4,63,51,117,154,0,29,19,66,64,574,
"Horseshoe Lagoon",0,0,13,14,33,64,0,23,10,17,44,218,
"Horton",0,0,10,0,29,47,0,22,6,21,20,153,
"Howard",0,7,47,63,205,366,4,193,36,256,182,1361,
"Howitt",0,0,0,0,0,10,0,5,0,5,0,22,
"Hoya",0,5,22,20,33,61,0,22,4,22,29,217,
"Hudson",0,3,7,7,34,58,0,22,7,34,64,234,
"Hughenden",7,8,61,48,152,367,0,145,23,139,190,1135,
"Hull Heads",0,0,0,6,21,36,0,13,4,17,9,115,
"Humboldt",0,0,0,0,0,8,0,0,0,0,0,10,
"Humeburn",0,0,0,0,5,13,0,0,0,0,0,19,
"Humphery",0,0,7,5,4,5,0,0,0,3,15,36,
"Hunchy",16,18,72,51,84,128,0,27,26,44,91,554,
"Hungerford (Qld)",0,0,0,0,4,3,0,4,0,9,0,21,
"Hurricane",0,0,0,0,4,6,0,4,0,0,0,16,
"Hutton Creek",0,0,0,5,3,7,0,8,4,0,5,26,
"Hyde Park (Qld)",25,12,140,105,194,418,0,79,28,86,287,1383,
"Iama Island",0,0,5,5,42,89,0,12,4,53,104,315,
"Ibis",0,0,0,0,0,0,0,0,0,0,0,3,
"Idalia",199,77,651,294,602,1151,0,114,59,227,1066,4435,
"Ideraway",0,0,0,0,5,15,0,6,0,5,7,35,
"Ilbilbie",0,0,10,14,52,109,0,44,5,63,54,351,
"Ilfracombe",0,0,18,25,31,77,0,20,4,24,58,265,
"Ilkley",22,10,82,79,130,201,0,21,18,62,191,828,
"Illinbah",10,0,9,10,23,28,0,9,5,9,28,131,
"Image Flat",9,11,35,39,88,114,0,28,10,26,89,441,
"Imbil",16,9,45,56,160,250,0,99,16,108,170,925,
"Inala",99,44,580,568,1290,4481,24,1771,762,1704,3514,14852,
"Indooroopilly",1473,368,3185,687,697,2905,0,218,245,693,1775,12238,
"Ingberry",0,0,0,0,0,8,0,0,0,0,0,17,
"Ingham",28,21,214,200,737,1295,0,624,83,526,702,4428,
"Inglestone",0,0,10,0,7,26,0,0,0,3,24,77,
"Inglewood (Qld)",5,5,27,43,130,287,0,149,13,136,162,954,
"Ingoldsby",5,0,3,0,7,21,0,6,0,6,16,69,
"Injinoo",0,0,6,25,57,144,6,34,15,32,237,558,
"Injune",3,0,23,26,56,141,0,69,8,45,81,459,
"Inkerman (Qld)",0,0,3,3,22,51,0,21,4,12,28,145,
"Innes Park",42,39,212,155,431,576,4,147,42,115,544,2300,
"Innisfail",18,3,44,60,116,337,0,145,32,210,176,1145,
"Innisfail Estate",23,15,92,62,191,346,5,128,37,174,266,1336,
"Innisplain",0,0,5,3,23,23,0,4,3,8,10,85,
"Innot Hot Springs",0,0,5,3,25,50,0,27,3,38,27,179,
"Inskip",0,0,0,3,7,4,0,0,0,29,5,48,
"Inverlaw",0,3,15,21,28,56,0,21,7,23,31,200,
"Inverness",9,3,32,30,66,150,0,45,8,26,125,494,
"Ipswich",51,34,232,156,317,691,0,250,68,312,349,2460,
"Iredale",3,4,13,10,20,47,0,7,0,8,40,162,
"Iron Range",0,0,0,3,0,5,0,0,0,4,0,13,
"Ironbark (Qld)",0,3,17,24,68,119,0,29,13,267,63,598,
"Irongate",0,3,8,12,10,49,0,5,0,4,28,126,
"Ironpot (Livingstone - Qld)",5,6,14,11,36,34,0,5,0,25,30,161,
"Ironpot (South Burnett - Qld)",0,0,5,0,7,20,0,4,0,3,8,43,
"Irvinebank",0,0,0,12,25,33,0,10,4,28,16,120,
"Irvingdale",0,0,15,13,28,60,0,10,4,15,50,193,
"Isis Central",0,0,14,11,45,63,0,7,6,29,46,222,
"Isis River",0,0,3,7,21,41,0,8,4,26,10,112,
"Isisford",0,0,10,16,29,72,0,24,4,22,37,220,
"Isla",0,0,13,7,15,53,0,19,0,16,30,159,
"Island Plantation",0,3,11,14,22,47,0,19,0,11,24,150,
"Iveragh",0,7,3,8,31,39,0,10,0,20,36,143,
"Ivory Creek",0,0,0,0,14,10,0,6,3,4,7,42,
"Jackson",0,0,0,0,10,21,0,12,0,3,6,55,
"Jackson North",0,0,3,0,7,22,0,4,6,4,16,62,
"Jackson South",0,0,0,0,3,0,0,0,0,0,0,9,
"Jacobs Well",30,5,96,113,404,538,0,129,58,146,316,1846,
"Jaffa",0,0,3,0,4,6,0,0,0,3,0,22,
"Jaggan",8,3,22,16,31,38,0,23,5,15,28,188,
"Jamboree Heights",154,66,460,274,427,786,0,112,82,106,628,3093,
"Jandowae",0,7,33,36,145,328,0,160,30,149,154,1042,
"Japoonvale",0,0,3,4,23,47,0,18,6,27,14,139,
"Jardine",0,0,0,0,7,26,0,9,5,0,19,63,
"Jardine River",0,0,0,0,0,0,0,0,0,0,0,0,
"Jarra Creek",0,0,0,5,24,42,0,5,5,19,33,134,
"Jarvisfield",0,0,19,17,67,113,0,28,6,30,82,368,
"Jeebropilly",0,0,0,0,0,3,0,0,0,0,4,3,
"Jellinbah",0,0,0,0,5,14,0,0,0,0,8,31,
"Jensen",11,18,77,92,315,407,0,93,27,99,343,1478,
"Jericho (Qld)",0,4,3,4,19,27,0,23,0,17,30,120,
"Jerona",0,0,0,0,9,7,0,4,0,13,0,40,
"Jimboomba",109,93,628,793,2549,3885,4,733,329,799,3280,13204,
"Jimbour East",0,0,21,16,20,70,0,10,3,12,47,199,
"Jimbour West",0,0,8,5,6,12,0,5,3,6,15,59,
"Jimna",0,0,0,6,8,24,0,18,0,16,21,88,
"Jindalee (Qld)",311,147,936,453,657,1263,3,140,136,201,1063,5321,
"Jinghi",0,5,6,3,15,20,0,0,9,9,17,76,
"Jobs Gate",0,0,0,0,0,4,0,0,0,0,0,11,
"Johnsons Hill",0,0,0,0,0,8,0,0,0,0,0,17,
"Johnstown",0,0,0,5,4,7,0,4,0,5,9,34,
"Jollys Lookout",5,4,17,3,10,10,0,0,0,5,20,74,
"Jondaryan",3,0,17,23,57,107,0,35,13,41,82,384,
"Jones Gully",0,0,0,0,5,6,0,0,0,0,5,14,
"Jones Hill",7,14,55,47,156,272,0,67,16,58,202,895,
"Josephville",0,0,9,12,24,71,0,13,4,9,27,168,
"Joskeleigh",0,0,0,0,11,13,0,7,0,15,21,73,
"Joyner",47,28,229,234,518,790,0,136,71,115,662,2831,
"Jubilee Heights",3,0,11,11,30,23,0,3,3,15,29,141,
"Jubilee Pocket",12,16,100,136,366,469,5,52,40,223,398,1819,
"Julago",0,0,9,5,28,30,0,11,3,11,26,109,
"Julatten",15,7,74,75,188,288,0,87,31,159,172,1090,
"Julia Creek",0,3,32,22,78,166,0,42,13,65,101,510,
"Junabee",3,0,14,11,38,62,0,23,5,23,45,215,
"Junction View",0,0,5,4,0,7,0,0,0,18,12,47,
"Jundah",0,0,9,9,16,34,0,14,0,4,17,100,
"Kaban",0,0,0,3,11,27,0,5,5,14,31,100,
"Kabra",0,0,21,17,65,120,0,57,10,48,88,420,
"Kagaru",0,0,0,0,4,10,0,3,0,4,0,18,
"Kaimkillenbun",0,0,27,17,32,100,0,22,0,29,59,292,
"Kairabah",0,0,0,0,0,0,0,0,0,0,0,0,
"Kairi",3,0,34,29,85,126,0,32,13,35,88,437,
"Kalapa",0,0,4,0,8,23,0,10,3,30,5,89,
"Kalbar",3,9,59,59,156,317,0,121,27,102,240,1087,
"Kalinga",142,67,476,121,153,428,0,88,24,128,496,2124,
"Kalkadoon",0,0,0,0,7,5,0,6,0,8,5,26,
"Kalkie",44,28,215,126,491,756,7,220,46,173,583,2689,
"Kallangur",172,158,1125,1356,3664,6229,19,1290,488,1406,4496,20403,
"Kalpowar",0,0,0,0,5,25,0,11,6,10,12,64,
"Kalunga",0,0,4,8,18,15,0,5,0,23,15,95,
"Kamerunga",39,26,117,83,168,257,0,44,15,73,219,1045,
"Kandanga",10,5,38,51,109,165,0,61,22,72,139,660,
"Kandanga Creek",0,0,0,11,31,34,0,13,5,9,22,122,
"Kangaroo Point (Qld)",729,220,2087,677,768,1994,0,148,213,789,436,8063,
"Kanigan",0,0,3,8,30,22,0,14,3,13,15,116,
"Kanimbla (Qld)",87,45,336,193,382,616,0,97,65,213,631,2668,
"Kapaldo",0,0,0,0,7,14,0,0,0,10,6,43,
"Karalee",93,70,432,353,770,1131,0,152,81,220,1042,4348,
"Karana Downs",168,105,541,361,579,898,0,93,76,147,893,3859,
"Karara",0,0,5,5,21,38,0,21,3,7,18,122,
"Karawatha",0,0,0,0,6,4,0,3,0,7,4,16,
"Karrabin",5,4,29,17,97,128,0,34,16,34,72,424,
"Karragarra Island",10,3,29,16,40,54,0,12,8,18,14,204,
"Karron",0,0,0,0,0,0,0,0,0,0,0,0,
"Karumba",0,0,24,30,103,150,3,64,19,82,59,531,
"Kawana",65,44,268,201,665,1322,0,353,82,504,909,4422,
"Kawl Kawl",0,0,0,0,0,5,0,3,0,0,6,20,
"Kawungan",38,60,281,314,821,1415,9,455,125,487,824,4820,
"Kearneys Spring",344,109,938,558,1076,2223,10,673,208,808,1601,8551,
"Kedron",455,227,1720,721,1058,2166,0,364,193,626,1825,9360,
"Kelsey Creek",0,0,8,5,24,39,0,6,6,16,26,125,
"Kelso (Qld)",82,82,528,595,1760,3116,5,644,184,910,2628,10539,
"Kelvin Grove",736,199,1854,549,475,2177,0,163,126,631,1008,7926,
"Kelvinhaugh",0,0,3,0,7,4,0,8,0,4,11,44,
"Kemmis",0,0,0,0,0,3,0,0,0,0,0,3,
"Kenilworth",12,5,37,32,94,188,0,45,13,56,68,556,
"Kenmore",907,303,1972,742,617,1876,4,186,175,308,1874,8960,
"Kenmore Hills",250,79,544,186,142,499,0,56,76,173,408,2405,
"Kennedy",0,0,3,6,23,50,0,15,0,23,36,167,
"Kensington (Qld)",6,0,22,29,90,181,0,64,14,82,80,568,
"Kensington Grove",10,20,91,94,314,457,0,136,35,142,411,1711,
"Kents Lagoon",0,0,7,5,10,12,0,3,0,6,17,56,
"Kents Pocket",0,0,0,0,4,7,0,7,0,0,8,28,
"Kentville",0,0,7,5,19,35,0,10,0,17,11,103,
"Keperra",227,159,874,549,896,1768,6,398,158,419,1355,6809,
"Kepnock",27,34,223,234,743,1342,4,461,83,450,834,4438,
"Keppel Sands",3,0,20,27,77,79,0,57,3,58,41,361,
"Keriri Island",0,0,0,6,31,75,0,14,3,38,93,263,
"Kerry",5,3,20,21,39,121,0,23,5,31,59,327,
"Kewarra Beach",157,78,562,500,907,1480,0,206,133,433,1189,5653,
"Keysland",0,0,0,0,0,5,0,5,0,4,0,15,
"Kholo",11,6,43,50,62,104,0,16,10,12,77,394,
"Khosh Bulduk",0,0,4,0,12,16,0,7,0,9,9,46,
"Kia Ora (Qld)",0,0,10,13,28,61,0,28,4,17,41,210,
"Kiamba",8,3,25,14,34,38,0,9,3,30,35,194,
"Kianga (Qld)",4,5,12,10,33,62,0,17,3,28,52,231,
"Kidaman Creek",4,7,11,12,11,30,0,9,4,23,22,132,
"Kiels Mountain",20,16,82,52,117,157,3,20,18,41,139,663,
"Kilbirnie",0,0,4,3,9,14,0,5,0,18,11,60,
"Kilcoy",9,9,108,91,248,576,3,225,47,185,397,1897,
"Kilcummin",0,6,14,9,31,88,0,6,4,21,74,257,
"Kilkivan",7,7,23,39,100,232,0,96,19,72,121,710,
"Killaloe",4,0,11,3,13,37,0,5,4,11,20,113,
"Killarney (Qld)",9,3,37,54,106,313,4,156,27,106,147,956,
"Kilmorey Falls",0,0,0,0,0,0,0,0,0,0,0,0,
"Kimberley (Qld)",4,0,4,0,9,0,0,0,0,8,0,36,
"Kin Kin",13,8,59,66,117,198,0,40,19,104,142,758,
"Kin Kora",30,20,160,150,527,758,7,161,48,179,543,2584,
"Kinbombi",0,0,0,0,3,7,0,4,0,4,6,35,
"Kinchant Dam",0,0,5,4,19,34,0,8,3,20,28,122,
"Kincora",0,0,3,3,11,22,0,3,5,0,14,58,
"Kindon",0,0,3,0,0,3,0,0,0,6,0,16,
"King Scrub",10,6,34,35,41,87,0,12,8,37,79,346,
"Kingaham",0,0,6,0,3,4,0,0,0,0,0,17,
"Kingaroy",89,101,642,594,1538,2813,8,948,211,913,2160,10024,
"Kings Beach",82,46,314,255,472,817,0,136,84,293,284,2788,
"Kings Creek",0,0,5,8,14,23,0,5,0,15,11,72,
"Kings Siding",0,0,4,4,5,0,0,0,0,0,5,13,
"Kingsholme",7,6,24,11,42,73,0,12,7,27,76,286,
"Kingsthorpe",10,8,77,104,365,544,4,158,38,156,415,1872,
"Kingston (Qld)",72,41,338,479,1372,3133,11,865,404,1294,2528,10534,
"Kinka Beach",9,8,42,44,113,168,0,59,21,112,47,623,
"Kinkuna",0,0,9,3,14,38,0,4,0,13,16,115,
"Kinleymore",0,0,0,4,14,26,0,9,0,16,17,91,
"Kinnoul",0,0,4,5,7,25,0,3,0,3,20,75,
"Kioma",0,0,6,3,4,9,0,0,0,0,3,27,
"Kippa-Ring",74,72,577,610,1578,3029,5,780,248,932,1884,9784,
"Kirknie",0,0,0,7,11,23,0,7,0,6,6,60,
"Kirkwood",43,21,204,106,435,523,0,53,24,95,748,2249,
"Kirrama",0,0,0,0,0,0,0,5,0,0,3,14,
"Kirwan",250,240,1619,1363,3651,6574,8,1154,407,1465,4694,21420,
"Kitoba",0,0,0,0,11,4,0,0,0,0,4,14,
"Kleinton",28,33,145,107,309,331,0,70,30,85,472,1613,
"Knapp Creek",0,3,3,5,5,17,0,9,4,6,13,60,
"Koah",7,8,47,52,95,147,0,37,15,63,127,605,
"Kobble Creek",21,15,66,48,114,145,0,14,19,39,147,638,
"Kogan",0,0,0,7,21,46,0,26,0,44,36,189,
"Kokotungo",0,0,3,5,8,31,0,8,3,13,19,100,
"Kolonga",0,0,0,0,4,20,0,4,0,4,7,52,
"Koombooloomba",0,0,0,0,0,0,0,0,0,0,0,0,
"Koongal",33,34,207,186,672,1267,8,448,100,368,973,4287,
"Kooralbyn",17,12,69,120,309,525,0,122,45,184,321,1732,
"Kooralgin",0,0,5,9,4,16,0,8,0,4,4,46,
"Kooringal (Qld)",0,0,6,0,12,15,0,3,4,12,0,43,
"Kooroomool",0,0,0,0,0,0,0,0,0,0,0,0,
"Kooroongarra",0,0,0,3,6,31,0,6,0,0,6,57,
"Koumala",5,0,27,35,149,266,0,88,15,73,168,831,
"Kowanyama",5,6,15,7,84,367,4,103,8,87,257,944,
"Kowguran",0,0,4,4,5,16,0,4,0,5,7,41,
"Kragra",0,0,4,0,0,8,0,5,0,3,3,22,
"Kulangoor",3,5,28,34,84,146,0,33,12,67,71,480,
"Kulgun",0,0,4,8,6,17,0,9,4,0,17,66,
"Kullogum",0,0,5,9,20,38,0,7,0,9,34,120,
"Kulpi",0,0,3,4,11,33,0,7,0,3,8,74,
"Kuluin",33,20,145,179,424,643,0,124,80,232,488,2364,
"Kumbarilla",0,0,4,4,28,58,0,23,5,41,29,191,
"Kumbia",0,0,24,17,39,91,0,44,5,33,45,295,
"Kunda Park",0,0,0,3,12,9,0,5,0,4,0,32,
"Kunioon",0,0,3,3,6,3,0,0,0,4,8,33,
"Kunwarara",0,0,4,0,19,23,0,12,0,6,7,69,
"Kuraby",519,120,1368,532,658,2024,4,356,267,295,1955,8108,
"Kuranda",98,46,309,231,462,684,0,112,85,388,584,3004,
"Kureelpa",25,14,97,74,176,252,0,38,24,62,141,907,
"Kureen",9,6,16,10,26,27,0,9,0,9,29,122,
"Kuridala",0,0,0,0,0,4,0,5,0,0,0,11,
"Kurrimine Beach",5,4,45,47,128,249,0,92,10,53,92,726,
"Kurrowah",0,0,0,0,0,3,0,4,0,14,0,27,
"Kurumbul",0,0,3,4,6,17,0,10,0,0,14,50,
"Kurwongbah",30,17,118,122,253,374,0,73,41,122,278,1433,
"Kuttabul",9,12,41,32,135,212,0,66,16,87,132,729,
"Kybong",3,3,14,23,60,106,0,42,10,39,32,333,
"Kynuna",0,0,4,5,5,15,0,10,4,0,16,53,
"Kyoomba",0,0,7,11,6,24,0,8,10,8,16,88,
"Labrador",460,172,1680,1437,2764,5243,10,1109,582,2322,2481,18261,
"Laceys Creek",3,6,32,29,43,66,0,12,0,28,52,278,
"Laglan",0,0,0,0,0,0,0,0,0,0,0,3,
"Lagoon Pocket",0,0,8,13,14,47,0,12,8,5,29,123,
"Laguna Quays",0,0,3,5,13,13,0,7,0,16,8,64,
"Laidley",34,18,147,178,506,1048,9,527,79,511,749,3803,
"Laidley Creek West",3,3,10,7,33,42,0,14,4,7,22,151,
"Laidley Heights",11,10,67,81,203,382,0,108,32,130,248,1263,
"Laidley North",7,0,23,20,57,144,0,28,6,35,81,408,
"Laidley South",3,0,8,20,48,77,0,27,3,23,56,273,
"Lake Barrine",10,0,14,15,20,30,0,16,0,13,24,151,
"Lake Borumba",0,0,0,0,0,0,0,0,0,0,0,4,
"Lake Clarendon",0,0,14,14,43,96,0,35,3,43,36,283,
"Lake Eacham",8,13,57,30,79,112,0,29,8,39,95,453,
"Lake Macdonald",37,22,132,139,228,369,0,56,35,70,278,1358,
"Lake Manchester",0,0,3,0,4,3,0,0,3,6,5,20,
"Lake Mary",0,3,4,3,12,36,0,8,6,13,15,100,
"Lake Monduran",0,0,0,0,0,3,0,0,0,0,0,0,
"Lake Proserpine",0,0,0,0,3,4,0,0,0,0,0,11,
"Lake Tinaroo",0,0,0,0,0,0,0,0,0,0,0,0,
"Lake Wivenhoe",0,0,0,0,5,0,0,0,0,0,0,7,
"Lakefield",0,0,0,0,0,5,0,0,0,0,0,13,
"Lakeland",0,0,38,16,39,71,0,14,16,64,40,295,
"Lakes Creek",0,8,15,22,94,175,0,59,13,32,139,552,
"Lakeside",0,0,0,0,6,12,0,12,0,5,5,54,
"Lamb Island",9,8,32,26,86,121,0,40,14,56,48,435,
"Lamb Range",0,0,0,0,0,0,0,0,0,0,0,0,
"Lamington (Qld)",4,0,7,4,17,31,0,6,0,9,7,86,
"Lammermoor",49,43,209,128,430,524,0,102,38,144,492,2166,
"Landers Shoot",5,5,30,20,44,66,0,14,0,26,47,256,
"Landsborough (Qld)",40,50,207,271,708,1101,0,275,80,369,704,3811,
"Lanefield",0,0,6,7,14,24,0,11,0,13,21,103,
"Langlands",0,0,0,0,0,4,0,0,0,0,0,7,
"Langlo",0,0,0,4,0,20,0,7,0,4,10,50,
"Langshaw",0,5,15,9,28,49,0,20,6,13,25,172,
"Lannercost",0,0,0,3,20,41,0,20,0,6,26,123,
"Lansdowne (Qld)",0,0,0,0,0,4,0,0,0,0,3,11,
"Lanskey",0,0,0,0,12,18,0,13,5,9,4,65,
"Larapinta (Qld)",0,0,0,0,0,0,0,0,0,0,0,0,
"Laravale",0,4,15,24,30,43,0,18,9,9,35,191,
"Lark Hill",3,0,9,3,7,13,0,4,0,11,16,64,
"Laura (Qld)",0,0,5,3,23,56,0,29,0,72,47,233,
"Lavelle",0,0,0,0,3,6,0,3,0,4,6,28,
"Lawes",8,3,31,14,22,211,0,0,12,20,5,329,
"Lawgi Dawes",0,0,7,11,26,40,0,19,5,11,36,141,
"Lawn Hill",0,0,0,3,5,6,0,0,0,3,0,20,
"Lawnton",75,91,379,414,979,1715,11,343,137,462,1047,5660,
"Leafdale",0,0,0,3,4,12,0,4,0,0,4,24,
"Lefthand Branch",0,0,3,3,12,30,0,11,0,14,8,83,
"Leichhardt (Qld)",20,17,133,167,515,1101,9,373,90,484,1007,3914,
"Lemontree",0,0,3,5,6,15,0,5,3,8,14,49,
"Leslie",0,0,0,0,0,5,0,0,0,0,0,15,
"Leslie Dam",4,0,4,18,16,44,0,3,0,23,45,163,
"Lethebrook",0,0,4,0,9,19,0,8,0,0,5,54,
"Leyburn",8,3,21,18,70,140,0,67,19,60,72,481,
"Leydens Hill",0,0,0,0,0,0,0,0,0,0,0,7,
"Lilydale (Qld)",0,0,5,3,13,25,0,3,0,8,21,83,
"Lilyvale (Central Highlands - Qld)",0,0,3,4,9,14,0,3,0,6,16,51,
"Lilyvale (Toowoomba - Qld)",0,0,0,3,14,12,0,4,0,6,9,50,
"Limestone (Qld)",0,0,0,0,0,3,0,0,0,3,0,3,
"Limestone Creek",8,0,17,12,41,40,0,13,6,20,31,185,
"Limestone Ridges",0,4,12,8,24,46,0,7,4,13,10,117,
"Limevale",0,0,0,4,10,14,0,9,3,12,15,62,
"Linden (Qld)",0,0,0,0,4,12,0,0,0,0,5,21,
"Linthorpe",0,4,31,33,72,141,0,28,5,36,90,441,
"Linville",0,0,4,9,27,50,0,17,0,20,24,156,
"Little Mountain",141,91,761,829,1849,2904,0,633,223,592,2173,10208,
"Little Mulgrave",4,5,24,18,46,74,0,7,3,27,46,246,
"Lizard",5,0,6,9,14,14,0,0,0,0,0,50,
"Llanarth (Qld)",0,0,0,5,7,14,0,0,0,8,16,48,
"Loch Lomond",0,0,11,7,13,44,0,8,3,6,17,109,
"Lochington",0,5,6,4,4,22,0,6,0,4,20,62,
"Lockhart River",0,3,16,11,45,180,0,79,26,132,228,723,
"Lockrose",0,4,18,19,83,152,0,75,9,84,111,568,
"Lockyer (Qld)",0,0,0,7,17,24,0,3,3,15,17,94,
"Lockyer Waters",0,3,16,28,71,156,0,53,21,109,93,560,
"Logan Central",35,23,179,268,640,1740,16,697,323,625,1400,5942,
"Logan Reserve",35,28,227,207,586,1042,0,176,112,253,860,3521,
"Logan Village",43,40,241,290,869,1310,5,268,114,326,922,4418,
"Loganholme",75,50,368,433,1239,1858,5,316,143,346,1471,6303,
"Loganlea",78,57,389,398,1039,2072,15,495,266,797,1722,7324,
"Lonesome Creek",0,5,8,13,21,56,0,6,5,9,41,168,
"Long Flat (Qld)",0,0,4,5,12,16,0,7,0,7,22,83,
"Long Pocket",0,5,13,4,28,51,0,13,5,15,53,195,
"Longreach (Qld)",48,51,254,175,412,810,0,235,56,357,572,2968,
"Lota",138,59,421,280,461,807,0,154,97,170,670,3257,
"Lotus Creek",0,0,3,0,15,23,0,8,0,0,19,72,
"Low Isles",0,0,0,0,0,0,0,0,0,0,0,0,
"Lower Beechmont",34,21,118,105,178,249,0,30,36,91,188,1045,
"Lower Cowley",0,0,5,0,8,23,0,13,0,3,18,66,
"Lower Cressbrook",0,0,0,0,0,4,0,0,0,10,3,16,
"Lower Daintree",5,0,0,5,26,25,0,10,0,15,13,100,
"Lower Mount Walker",6,5,7,9,23,57,0,6,7,27,35,187,
"Lower Tenthill",3,4,8,16,16,93,0,38,9,36,41,252,
"Lower Tully",0,0,0,4,7,28,0,8,0,4,16,82,
"Lower Wonga",5,3,16,18,64,93,0,32,7,41,76,346,
"Lowesby",0,0,0,0,0,4,0,0,0,0,3,12,
"Lowestoff",0,0,0,6,4,13,0,0,0,3,9,37,
"Lowmead",0,0,6,4,26,45,0,22,6,20,19,159,
"Lowood",23,18,110,199,665,1146,4,426,97,435,1032,4159,
"Lucinda",0,3,20,12,77,131,0,66,10,55,26,403,
"Lumeah (Qld)",0,0,0,0,0,0,0,0,0,0,0,0,
"Lumholtz",0,0,0,0,0,0,0,0,0,0,0,0,
"Lundavra",0,0,14,7,11,32,0,10,0,0,22,98,
"Luscombe",7,0,36,24,42,74,0,15,8,32,67,307,
"Lutwyche",235,101,778,300,351,824,4,95,73,266,420,3455,
"Lynam",0,0,0,0,4,0,0,0,0,5,0,10,
"Lyndhurst (Qld)",0,0,0,0,0,9,0,0,0,0,0,12,
"Lyndside",0,0,0,0,0,0,0,0,0,0,0,0,
"Lyons (Qld)",0,0,3,0,6,7,0,3,0,5,3,31,
"Lyra",0,3,5,3,8,12,0,0,0,3,12,48,
"Lytton",0,0,0,0,0,5,0,0,0,4,5,9,
"Ma Ma Creek",0,3,8,3,18,60,0,14,5,8,27,147,
"Maadi",0,0,4,3,7,10,0,5,0,8,0,43,
"Maalan",0,0,8,0,5,12,0,0,0,4,5,26,
"Maaroom",0,0,7,6,57,84,0,30,0,27,3,220,
"Mabuiag Island",0,0,5,7,22,70,0,3,3,32,79,211,
"Macalister",0,0,15,10,18,49,0,13,8,14,35,158,
"Macalister Range",0,0,0,0,0,0,0,0,0,0,0,0,
"Macfarlane",0,0,0,0,3,6,0,0,0,0,0,14,
"Macgregor (Qld)",501,102,1122,430,443,1745,7,263,196,359,692,5847,
"Machans Beach",29,26,114,72,134,191,0,39,29,254,168,1046,
"Machine Creek",0,0,0,3,13,24,0,19,3,17,28,118,
"Mackay",82,35,372,188,530,1008,4,296,76,538,539,3655,
"Mackay Harbour",25,8,80,55,90,120,0,17,20,89,58,551,
"Mackenzie (Brisbane - Qld)",116,43,378,169,185,546,0,64,47,56,492,2096,
"Mackenzie (Central Highlands - Qld)",0,0,3,4,3,13,0,0,6,0,8,35,
"Mackenzie River",0,3,3,4,10,23,0,0,0,10,16,69,
"Macknade",0,0,8,3,52,70,0,29,5,20,39,231,
"Maclagan",4,0,3,4,29,54,0,28,3,20,44,189,
"Macleay Island",45,32,171,240,450,847,5,242,80,299,264,2679,
"Magnolia",0,0,3,4,25,46,0,11,0,13,30,132,
"Maidenhead",0,0,0,0,5,8,0,0,0,0,4,14,
"Maidenwell",0,5,15,8,37,53,0,24,3,34,27,200,
"Main Beach",185,77,640,338,417,1072,0,106,115,637,294,3883,
"Majors Creek (Qld)",0,4,20,20,65,100,0,27,10,40,50,329,
"Malanda",30,22,121,135,348,524,0,166,52,263,320,1985,
"Malarga",0,0,0,0,0,9,0,0,0,8,0,16,
"Maleny",176,105,465,417,524,951,0,188,106,309,498,3737,
"Malling",0,0,0,0,4,8,0,3,0,3,3,28,
"Malmoe",0,0,0,3,0,10,0,0,0,4,8,35,
"Malpas-Trenton",0,0,0,4,3,6,0,0,0,0,15,24,
"Malu",0,0,0,0,7,3,0,0,0,8,0,18,
"Mamu",0,0,0,0,0,0,0,0,0,0,0,0,
"Manapouri",0,0,4,4,7,22,0,0,0,0,9,49,
"Mandalay",9,6,23,23,61,92,0,14,0,54,57,335,
"Maneroo",0,0,5,4,0,14,0,4,0,10,4,37,
"Mango Hill",179,114,926,707,1335,2075,0,238,172,406,2280,8432,
"Manly (Qld)",220,89,612,362,569,954,0,161,83,282,712,4060,
"Manly West",293,198,1397,979,1717,3211,10,707,284,699,2479,11976,
"Mannuem",0,0,0,0,18,36,0,10,0,10,17,88,
"Manoora (Qld)",65,53,381,322,804,1535,14,370,179,985,1318,6023,
"Mansfield (Qld)",405,173,1292,670,938,2308,0,444,217,461,1780,8701,
"Mantuan Downs",0,0,0,9,9,10,0,0,0,0,4,34,
"Manumbar",0,0,7,0,7,18,0,3,0,6,10,51,
