Australian Bureau of Statistics

"2016 Census - Cultural Diversity"
"SSC (UR) by RELP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"RELP - 1 Digit Level","Buddhism","Christianity","Hinduism","Islam","Judaism","Other Religions","Secular Beliefs and Other Spiritual Beliefs and No Religious Affiliation","Inadequately described","Not stated","Total",
"Blowering",0,0,0,0,0,0,0,0,0,0,
"Blue Bay",6,686,4,3,6,3,206,3,103,1030,
"Blue Haven",41,4192,6,12,10,36,1727,13,344,6377,
"Blue Knob",4,33,0,0,0,6,123,0,55,221,
"Blue Mountains National Park",0,0,0,0,0,0,0,0,0,0,
"Blue Nobby",0,20,0,0,0,0,6,0,0,26,
"Blue Vale",0,52,0,0,0,0,3,0,9,61,
"Blueys Beach",5,121,0,0,0,0,47,0,9,188,
"Boambee",8,1034,0,0,0,25,442,12,140,1667,
"Boambee East",41,3206,11,12,3,28,1523,28,397,5242,
"Boambolo",0,34,0,0,0,0,16,0,4,53,
"Boat Harbour (Lismore - NSW)",0,77,0,0,0,0,39,6,20,142,
"Boat Harbour (Port Stephens - NSW)",6,568,0,0,0,0,334,6,57,958,
"Bobadah",0,0,0,0,0,0,10,0,3,11,
"Bobin",0,64,4,0,0,0,69,0,20,157,
"Bobs Creek",0,42,0,0,0,0,30,0,15,87,
"Bobs Farm",4,292,0,0,0,0,113,0,39,444,
"Bobundara",0,14,0,0,0,0,0,0,0,19,
"Boco",0,0,0,0,0,0,0,0,0,0,
"Bocoble",0,72,0,0,0,3,49,0,28,149,
"Bocobra",0,27,0,0,0,0,7,0,17,53,
"Bodalla",15,414,0,0,0,7,248,0,61,740,
"Bodangora",0,57,0,0,0,0,7,0,18,75,
"Boeill Creek",0,57,0,0,0,0,23,0,23,102,
"Bogan",0,13,0,0,0,0,4,0,0,14,
